"NUTS_ID"	"EQL_Region"	"EQL_Name"	"Birdlife_SpR"	"EBBA1_SpR"	"EBBA1_AreaWeighted_SpR"	"Megafauna_Spec.Rich"	"Bear_dummy"	"Wolf_dummy"	"Tree_Sp.Rich_2007[, 4]"	"Corine2006_H"	"Corine2006_simp"	"Corine2006_nat.H"	"Corine2006_nat.simp"	"Corine2006_H.even"	"Corine2006_nat.H.even"	"Elevation_sd"	"Elevation_range"	"Elevation_mean"	"TRI.mean"	"TRI.mean.cat"	"tmean.yearmean"	"tmean.yearrange"	"tmean.yearmax"	"tmean.yearmin"	"prec.yearmean"	"prec.yearrange"	"prec.yearmax"	"prec.yearmin"	"tg_0.25deg_HDD"	"tg_0.25deg_HDD.yearmean"	"tg_0.25deg_CDD"	"tg_0.25deg_CDD.yearmean"	"tg_0.25deg_GDD"	"tg_0.25deg_GDD.yearmean"	"a.2007"	"a.km.2007"
"0"	"AT11"	7	"AU Burgenland"	250	200	130.999052806755	7	0	0	7	1.95296992020567	0.779014775824606	1.79737031786029	0.75156392922985	0.651917375075966	0.723315025944188	121.887524143403	725	249.32892804699	57.9906036424938	1	9.26168257464513	24.8	20.4	-4.4	56.6375550660793	87	115	28	26540.5403470819	72.6655313855368	526.943186928208	1.44272144377559	26002.8290841635	71.1933279510559	3963512920.26703	3963.51292026703
"1"	"AT22"	6	"AU Steiermark"	242	183	106.011740804355	9	0	0	7	2.12076863663918	0.810459702635782	1.99420805807803	0.794046388705493	0.636446121528018	0.677279465524052	483.690559869713	2350	952.823242569852	357.151813370852	5	5.22539004567836	30	19.9	-10.1	93.4916028949397	174	204	30	37150.8843511298	101.715666580778	80.2116381724055	0.219612006194256	16131.6183654705	44.1668709568862	16414301285.9664	16414.3012859664
"2"	"AT12"	8	"AU Niederösterreich"	280	217	121.755297623871	10	0	0	9	2.00090941508864	0.808919397199635	1.82817635321998	0.783721840170154	0.614134477520337	0.659375239665233	259.998566916916	1880	452.051768920734	136.074525259887	3	7.95265188834154	28.8	20.1	-8.7	62.8417823555754	142	171	29	29906.6711389746	81.8816844670996	313.054906870827	0.857115223093771	22682.0670727527	62.1013903714728	19201722053.8546	19201.7220538546
"3"	"AT13"	9	"AU Wien"	198	168	134.307696036154	7	0	0	7	2.08967871657115	0.820631856350612	1.50821433326138	0.688339184504587	0.686373235644056	0.628974230180321	65.7098176722398	307	196.720897615708	46.0106834190908	1	9.69020570359981	22.5	20.1	-2.4	52.879850397382	57	91	34	25463.5536808328	69.7168420455802	634.908162605328	1.73831950719133	27162.8707191028	74.3694140717546	411979273.083551	411.979273083551
"4"	"AT21"	5	"AU KärntenOsttirol"	215	168	113.160078796118	12	1	0	6	2.04938359606365	0.789720976609387	1.93376360403027	0.773788338129462	0.629012545253849	0.682533706149276	566.543267691741	2912	1158.99703612226	465.669683425349	5	4.74711124832768	33.6	19.1	-14.5	101.838864875991	139	178	39	38805.9808968683	106.247167010598	19.4177670445707	0.0531640404514007	14788.2355159584	40.4888136401389	9541851739.39696	9541.85173939696
"5"	"AT31"	4	"AU Oberösterreich"	235	185	111.406867041802	11	0	0	7	2.18642621708843	0.85603084114355	2.02916625993302	0.838181344081615	0.671074718496881	0.731867025086142	301.786017619306	2499	601.030378653357	198.438264523828	4	7.22021604197661	30.1	19.4	-10.7	92.4778518980659	175	209	34	32170.521310895	88.0798957155724	103.206148104387	0.282568836059296	20024.4592505731	54.8251072932998	11984624511.6858	11984.6245116858
"6"	"AT32"	3	"AU Salzburg"	208	173	100.344557201018	10	0	0	7	2.14794796895164	0.838716822914017	2.01647428749108	0.824841867029212	0.66729755536301	0.711726948385807	578.289100707931	2972	1395.52003910068	555.614328863994	6	3.66242057673509	31.8	18.6	-13.2	110.086109753448	149	193	44	44852.2589567068	122.801314076831	11.0653285292288	0.0302958405148053	10827.1481957732	29.6437249109105	7158805997.49156	7158.80599749156
"7"	"BE21"	10	"BE Antwerpen"	252	176	133.899971643496	4	0	0	5	2.31733621963399	0.862713155007106	2.00162155256978	0.826706793525218	0.688189080091396	0.69251353120981	8.86331092559916	42	14.7595484477893	3.93935472732994	1	9.90871903418	15.8	17.7	1.9	65.7425995609909	32	79	47	22007.6555179404	60.2549142499583	211.153268047919	0.57811801213692	24893.8590578716	68.157071145531	2872739367.99596	2872.73936799596
"8"	"BE22"	15	"BE Limburg"	214	164	145.274332717715	5	0	0	5	2.33428670723759	0.87143355344497	2.1250707397605	0.850144672435224	0.72518693924242	0.784723539798329	31.309765341928	261	59.3133928571429	14.5483442328566	1	9.65137648809524	16.4	17.6	1.2	67.3742931547619	46	95	49	22612.138008038	61.9099310951985	237.582428427879	0.650478595530035	24732.0740687717	67.7141188902487	2426154041.3731	2426.1540413731
"9"	"AT33"	2	"AU Tirol"	205	173	102.004972336127	10	1	0	6	2.04995461368543	0.831648218346659	1.9532149812903	0.821474263596975	0.636854207872207	0.675766006900095	642.489713691926	3116	1735.41942941693	666.349373610979	6	2.51265701823337	32.6	18.9	-13.7	95.1824840862502	162	195	33	48629.945956592	133.144269784026	0.761427922174335	0.00208471884343781	8740.04055194752	23.9294182685408	12650549563.9734	12650.5495639734
